! Date: 14/08/2026  Time: 20:22:17  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.19813277E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
  156  1.2083285E+05  5.8580614E-01  4.6474174E+02  1.3730657E+21  1.8615285E-01  1.0000000E-99  1.0000000E-99
  157  1.2161219E+05  5.8958441E-01  4.6773917E+02  1.3713455E+21  1.8906479E-01  1.0000000E-99  1.0000000E-99
  158  1.2239152E+05  5.9336267E-01  4.7073661E+02  1.3696121E+21  1.9201022E-01  1.0000000E-99  1.0000000E-99
  159  1.2317085E+05  5.9714094E-01  4.7373405E+02  1.3678654E+21  1.9498956E-01  1.0000000E-99  1.0000000E-99
  160  1.2395019E+05  6.0091920E-01  4.7673149E+02  1.3661054E+21  1.9800318E-01  1.0000000E-99  1.0000000E-99
  161  1.2472952E+05  6.0469747E-01  4.7972893E+02  1.3643319E+21  2.0105151E-01  1.0000000E-99  1.0000000E-99
  162  1.2550885E+05  6.0847573E-01  4.8272637E+02  1.3625450E+21  2.0413495E-01  1.0000000E-99  1.0000000E-99
  163  1.2628819E+05  6.1225400E-01  4.8572380E+02  1.3607446E+21  2.0725392E-01  1.0000000E-99  1.0000000E-99
  164  1.2706752E+05  6.1603227E-01  4.8872124E+02  1.3589306E+21  2.1040886E-01  1.0000000E-99  1.0000000E-99
  165  1.2784686E+05  6.1981053E-01  4.9171868E+02  1.3571031E+21  2.1360020E-01  1.0000000E-99  1.0000000E-99
  166  1.2862619E+05  6.2358880E-01  4.9471612E+02  1.3552618E+21  2.1682839E-01  1.0000000E-99  1.0000000E-99
  167  1.2940552E+05  6.2736706E-01  4.9771356E+02  1.3534069E+21  2.2009389E-01  1.0000000E-99  1.0000000E-99
  168  1.3018486E+05  6.3114533E-01  5.0071099E+02  1.3515382E+21  2.2339714E-01  1.0000000E-99  1.0000000E-99
  169  1.3096419E+05  6.3492359E-01  5.0370843E+02  1.3496556E+21  2.2673864E-01  1.0000000E-99  1.0000000E-99
  170  1.3174353E+05  6.3870186E-01  5.0670587E+02  1.3477591E+21  2.3011885E-01  1.0000000E-99  1.0000000E-99
  171  1.3252286E+05  6.4248012E-01  5.0970331E+02  1.3458487E+21  2.3353827E-01  1.0000000E-99  1.0000000E-99
  172  1.3330219E+05  6.4625839E-01  5.1270075E+02  1.3439243E+21  2.3699740E-01  1.0000000E-99  1.0000000E-99
  173  1.3408153E+05  6.5003666E-01  5.1569818E+02  1.3419858E+21  2.4049674E-01  1.0000000E-99  1.0000000E-99
  174  1.3486086E+05  6.5381492E-01  5.1869562E+02  1.3400332E+21  2.4403681E-01  1.0000000E-99  1.0000000E-99
  175  1.3564020E+05  6.5759319E-01  5.2169306E+02  1.3380664E+21  2.4761815E-01  1.0000000E-99  1.0000000E-99
  176  1.3641953E+05  6.6137145E-01  5.2469050E+02  1.3360853E+21  2.5124129E-01  1.0000000E-99  1.0000000E-99
  177  1.3719886E+05  6.6514972E-01  5.2768794E+02  1.3340899E+21  2.5490677E-01  1.0000000E-99  1.0000000E-99
  178  1.3797820E+05  6.6892798E-01  5.3068538E+02  1.3320801E+21  2.5861517E-01  1.0000000E-99  1.0000000E-99
  179  1.3875753E+05  6.7270625E-01  5.3368281E+02  1.3300559E+21  2.6236705E-01  1.0000000E-99  1.0000000E-99
  180  1.3953687E+05  6.7648451E-01  5.3668025E+02  1.3280172E+21  2.6616299E-01  1.0000000E-99  1.0000000E-99
  181  1.4031620E+05  6.8026278E-01  5.3967769E+02  1.3259638E+21  2.7000358E-01  1.0000000E-99  1.0000000E-99
  182  1.4109553E+05  6.8404105E-01  5.4267513E+02  1.3238959E+21  2.7388944E-01  1.0000000E-99  1.0000000E-99
  183  1.4187487E+05  6.8781931E-01  5.4567257E+02  1.3218132E+21  2.7782118E-01  1.0000000E-99  1.0000000E-99
  184  1.4265420E+05  6.9159758E-01  5.4867000E+02  1.3197157E+21  2.8179943E-01  1.0000000E-99  1.0000000E-99
  185  1.4343354E+05  6.9537584E-01  5.5166744E+02  1.3176033E+21  2.8582483E-01  1.0000000E-99  1.0000000E-99
  186  1.4421287E+05  6.9915411E-01  5.5466488E+02  1.3154761E+21  2.8989805E-01  1.0000000E-99  1.0000000E-99
  187  1.4499220E+05  7.0293237E-01  5.5766232E+02  1.3133338E+21  2.9401974E-01  1.0000000E-99  1.0000000E-99
  188  1.4577154E+05  7.0671064E-01  5.6065976E+02  1.3111764E+21  2.9819059E-01  1.0000000E-99  1.0000000E-99
  189  1.4655087E+05  7.1048890E-01  5.6365720E+02  1.3090039E+21  3.0241129E-01  1.0000000E-99  1.0000000E-99
  190  1.4733020E+05  7.1426717E-01  5.6665463E+02  1.3068162E+21  3.0668257E-01  1.0000000E-99  1.0000000E-99
  191  1.4810954E+05  7.1804544E-01  5.6965207E+02  1.3046132E+21  3.1100514E-01  1.0000000E-99  1.0000000E-99
