# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
  152   4.5300000E+02  0.0000000E+00  4.0064987E+21  2.1274135E+16  2.0416327E-02
  153   4.5600000E+02  0.0000000E+00  4.0064993E+21  2.6216130E+16  1.3792733E-02
  154   4.5900000E+02  0.0000000E+00  4.0066386E+21  5.8111886E+16  6.6295064E-03
  155   4.6200000E+02  0.0000000E+00  4.0068837E+21  8.5892644E+16 -2.3722508E-05
  156   4.6500000E+02  0.0000000E+00  4.0072000E+21  9.9737673E+16 -5.3017228E-03
  157   4.6800000E+02  0.0000000E+00  4.0075724E+21  1.1800267E+17 -9.3876929E-03
  158   4.7100000E+02  0.0000000E+00  4.0080060E+21  1.3911914E+17 -1.2198320E-02
  159   4.7400000E+02  0.0000000E+00  4.0084885E+21  1.4222177E+17 -1.4447914E-02
  160   4.7700000E+02  0.0000000E+00  4.0090028E+21  1.5427439E+17 -1.6931155E-02
  161   4.8000000E+02  0.0000000E+00  4.0095350E+21  1.5258304E+17 -1.8961288E-02
  162   4.8300000E+02  0.0000000E+00  4.0100502E+21  1.4526188E+17 -2.0335071E-02
  163   4.8600000E+02  0.0000000E+00  4.0104868E+21  1.1328901E+17 -2.0335071E-02
  164   4.8900000E+02  0.0000000E+00  4.0108122E+21  7.6999008E+16 -1.7580674E-02
  165   4.9200000E+02  0.0000000E+00  4.0110316E+21  5.0531663E+16 -1.3184040E-02
  166   4.9500000E+02  0.0000000E+00  4.0111638E+21  2.7433123E+16 -8.9438841E-03
  167   4.9800000E+02  0.0000000E+00  4.0112316E+21  1.2769895E+16 -5.4234806E-03
  168   5.0100000E+02  0.0000000E+00  4.0112594E+21  4.5103495E+15 -2.7955180E-03
  169   5.0400000E+02  0.0000000E+00  4.0112677E+21  8.6574522E+14 -1.1554940E-03
  170   5.0700000E+02  0.0000000E+00  4.0112674E+21  8.0413546E+14 -3.4495491E-04
  171   5.1000000E+02  0.0000000E+00  4.0112642E+21  1.1861045E+15  1.0893244E-05
  172   5.1300000E+02  0.0000000E+00  4.0112601E+21  1.2394664E+15  1.3488664E-04
  173   5.1600000E+02  0.0000000E+00  4.0112560E+21  1.2415453E+15  1.7489656E-04
  174   5.1900000E+02  0.0000000E+00  4.0112521E+21  1.1344359E+15  1.7489656E-04
  175   5.2200000E+02  0.0000000E+00  4.0112485E+21  1.1190833E+15  1.7489656E-04
  176   5.2500000E+02  0.0000000E+00  4.0112453E+21  1.0693962E+15  1.6924150E-04
  177   5.2800000E+02  0.0000000E+00  4.0112424E+21  1.2966405E+15  1.5746324E-04
  178   5.3100000E+02  0.0000000E+00  4.0112401E+21  3.0598797E+15  1.3713640E-04
  179   5.3400000E+02  0.0000000E+00  4.0112389E+21  7.9252926E+15  1.2876584E-04
  180   5.3700000E+02  0.0000000E+00  4.0112400E+21  1.7989104E+16  9.8474284E-05
  181   5.4000000E+02  0.0000000E+00  3.5134885E+21  1.3230328E+21  9.8474284E-05
