ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
146,1,21,16,3.75e+20,0.26827,0.11962,1.0563,4.23,55.6176,1668.53,166.853,96,0.943622,0.924738,0.959915,1.01217,1.01825,0.976279
147,1,21,17,3.75e+20,0.26827,0.152938,0.9253,2.985,70.7627,2122.88,212.288,120,0.973469,0.957825,0.974469,0.994287,0.989864,0.966486
148,1,21,18,3.75e+20,0.26827,0.195537,0.8164,2.24,89.314,2679.42,267.942,150,0.987909,0.974586,0.976949,1.00229,1.00295,0.976077
149,1,21,19,3.75e+20,0.26827,0.25,0.7198,1.768,113.282,3398.47,339.847,192,0.994828,0.982349,0.969017,0.999353,0.993299,0.976815
150,1,22,2,3.75e+20,0.398107,0.0038356,57.7622,58.14,28.9821,869.462,86.9462,18,0.23389,0.221837,0.412919,0.513984,0.506891,0.577253
151,1,22,3,3.75e+20,0.398107,0.00490394,46.2623,60.423,27.721,831.629,83.1629,18,0.238431,0.226428,0.41135,0.469515,0.461702,0.563812
152,1,22,4,3.75e+20,0.398107,0.00626986,30.3331,64.269,24.8727,746.18,74.618,24,0.241988,0.23031,0.461543,0.409565,0.400994,0.60721
153,1,22,5,3.75e+20,0.398107,0.00801622,21.3056,66.57,22.3782,671.345,67.1345,24,0.243583,0.232186,0.443155,0.371176,0.362111,0.590499
154,1,22,6,3.75e+20,0.398107,0.010249,14.1331,67.609,19.8097,594.292,59.4292,24,0.248046,0.236779,0.423976,0.349442,0.339829,0.545074
155,1,22,7,3.75e+20,0.398107,0.0131037,9.9556,66.396,18.2213,546.64,54.6639,24,0.260996,0.249607,0.413088,0.355711,0.345503,0.510952
156,1,22,8,3.75e+20,0.398107,0.0167535,7.1951,62.621,17.5063,525.189,52.5188,24,0.282473,0.270638,0.417198,0.379515,0.368657,0.551555
157,1,22,9,3.75e+20,0.398107,0.02142,5.3996,56.308,17.7177,531.531,53.1531,24,0.313667,0.301024,0.437186,0.412338,0.401062,0.457285
158,1,22,10,3.75e+20,0.398107,0.0273861,4.1498,47.653,18.8697,566.09,56.609,30,0.360005,0.346063,0.507036,0.465136,0.453747,0.633174
159,1,22,11,3.75e+20,0.398107,0.0350141,3.2503,37.598,21.0662,631.985,63.1985,30,0.432019,0.416324,0.560049,0.540759,0.528721,0.681508
160,1,22,12,3.75e+20,0.398107,0.0447667,2.5709,27.423,24.5832,737.497,73.7497,36,0.531348,0.513432,0.655015,0.575735,0.561645,0.57572
161,1,22,13,3.75e+20,0.398107,0.0572357,2.0796,19.157,29.4032,882.095,88.2095,48,0.64487,0.625084,0.752511,0.733198,0.72137,0.839215
162,1,22,14,3.75e+20,0.398107,0.0731778,1.7299,12.901,36.0604,1081.81,108.181,60,0.753104,0.731965,0.832402,0.913768,0.90996,0.797753
163,1,22,15,3.75e+20,0.398107,0.0935603,1.4986,8.495,45.2301,1356.9,135.69,72,0.847855,0.82694,0.896279,1.05237,1.06329,0.746061
164,1,22,16,3.75e+20,0.398107,0.11962,1.3054,5.681,56.9312,1707.94,170.794,96,0.9135,0.894028,0.938496,1.14194,1.17381,0.96778
165,1,22,17,3.75e+20,0.398107,0.152938,1.14,3.894,72.0436,2161.31,216.131,120,0.955871,0.939037,0.963397,1.00677,1.00772,0.962526
166,1,22,18,3.75e+20,0.398107,0.195537,1.0013,2.801,90.9082,2727.24,272.724,156,0.978959,0.964796,0.97324,0.993744,0.990523,0.97675
