# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.2917597   3.627573e+21   1.1470214    0.225388   1.0854052   -0.460105     0.60460        1  i05j10k01
   1.2545096   3.467372e+21   1.1649581    0.349114   1.0833829   -0.455799     0.57790        1  i05j10k01
   1.1867876   3.307658e+21   1.1695677    0.491593   1.0807379   -0.448175     0.55128        1  i05j10k01
   1.1096247   3.058348e+21   1.1510106    0.643687   1.0775991   -0.437624     0.50972        1  i05j10k01
   1.0374865   2.653337e+21   1.0995942    0.794566   1.0746007   -0.427437     0.44222        1  i05j10k01
   0.9831700   2.077100e+21   1.0094204    0.933065   1.0723558   -0.421062     0.34618        1  i05j10k01
   0.9609794   1.400756e+21   0.8802999    1.054218   1.0699328   -0.413241     0.23346        1  i05j10k01
   0.9617637   1.588745e+21   0.9189611    1.022966   1.0706882   -0.415972     0.26479        1  i05j10k01
   0.9960815   2.264169e+21   1.0403625    0.893600   1.0731844   -0.423923     0.37736        1  i05j10k01
   1.0593035   2.803974e+21   1.1202223    0.746833   1.0755056   -0.430424     0.46733        1  i05j10k01
   1.1367165   3.163435e+21   1.1608527    0.589209   1.0785623   -0.440578     0.52724        1  i05j10k01
   1.2145907   3.380572e+21   1.1699204    0.433200   1.0817455   -0.450987     0.56343        1  i05j10k01
   1.2751283   3.537603e+21   1.1580102    0.290668   1.0844350   -0.458470     0.58960        1  i05j10k01
   1.3055734   3.701623e+21   1.1349832    0.171027   1.0865067   -0.462672     0.61694        1  i05j10k01
   1.3154758   3.870459e+21   1.1078278    0.080098   1.0884622   -0.466477     0.64508        1  i05j10k01
   1.3233310   4.006346e+21   1.0810802    0.017788   1.0904147   -0.470656     0.66772        1  i05j10k01
   1.3294068   4.118647e+21   1.0577274   -0.021307   1.0920486   -0.473828     0.68644        1  i05j10k01
   1.3386827   4.200383e+21   1.0393749   -0.044155   1.0932081   -0.475460     0.70006        1  i05j10k01
   1.3464177   4.269000e+21   1.0265125   -0.056625   1.0939629   -0.476113     0.71150        1  i05j10k01
   1.3558784   4.305960e+21   1.0189587   -0.062547   1.0944652   -0.476684     0.71766        1  i05j10k01
   1.3598300   4.318495e+21   1.0164749   -0.064260   1.0946523   -0.476958     0.71975        1  i05j10k01
   1.3558784   4.305960e+21   1.0189587   -0.062547   1.0944652   -0.476684     0.71766        1  i05j10k01
   1.3464177   4.269000e+21   1.0265125   -0.056625   1.0939629   -0.476113     0.71150        1  i05j10k01
   1.3386827   4.200383e+21   1.0393749   -0.044155   1.0932081   -0.475460     0.70006        1  i05j10k01
   1.3294068   4.118647e+21   1.0577274   -0.021307   1.0920486   -0.473828     0.68644        1  i05j10k01
   1.3233310   4.006346e+21   1.0810802    0.017788   1.0904147   -0.470656     0.66772        1  i05j10k01
   1.3154758   3.870459e+21   1.1078278    0.080098   1.0884622   -0.466477     0.64508        1  i05j10k01
   1.3055734   3.701623e+21   1.1349832    0.171027   1.0865067   -0.462672     0.61694        1  i05j10k01
   1.2751283   3.537603e+21   1.1580102    0.290668   1.0844350   -0.458470     0.58960        1  i05j10k01
   1.2145907   3.380572e+21   1.1699204    0.433200   1.0817455   -0.450987     0.56343        1  i05j10k01
   1.1367165   3.163435e+21   1.1608527    0.589209   1.0785623   -0.440578     0.52724        1  i05j10k01
