# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    3.316483e-01   1.043000e+22      1.22560       48.910
    1.812829e-01   8.808000e+21      1.30892       51.180
    2.171285e-02   4.945000e+21      1.10629       41.920
    1.815537e-03   2.543000e+21      1.15777       15.150
    1.189077e-01   8.796000e+21      1.21135       51.320
    5.230457e-02   3.507000e+21      1.24993       45.920
    1.729195e-01   9.052000e+21      1.23995       46.900
    1.564108e-01   3.988000e+21      1.55491       27.820
    3.035415e-01   7.792000e+21      1.39091       48.060
    2.360971e-02   3.833000e+21      1.17699       26.250
    8.081457e-02   3.572000e+21      1.13849       46.970
    5.581141e-02   5.180000e+21      1.25077       35.900
    6.055945e-02   3.893000e+21      1.29078       36.070
    5.417944e-03   1.852000e+21      1.22316       20.010
    2.126792e-01   5.601000e+21      1.43582       28.130
    9.236627e-01   1.334000e+22      1.38006       43.700
    8.518554e-03   2.474000e+21      1.08864       45.260
    1.035583e-02   8.043000e+21      1.23822       14.620
    2.135643e-01   1.212000e+22      1.56493       23.300
    4.732251e-01   9.517000e+21      1.33550       60.110
    1.731131e-01   1.359000e+22      1.12634      100.500
    5.242906e-02   3.243000e+21      1.40364       28.940
    4.457499e-01   4.907000e+21      1.64112       38.080
    5.203477e-02   3.573000e+21      1.19325       37.000
    9.604892e-03   2.652000e+21      1.22191       23.470
    9.945312e-02   6.503000e+21      1.22082       51.810
    8.892876e-03   3.472000e+21      1.09303       41.360
    3.898828e-01   9.636000e+21      1.53477       34.880
    5.707497e-01   8.932000e+21      1.33721       63.360
    9.386605e-02   5.171000e+21      1.20596       48.770
    2.158160e-01   4.019000e+21      1.24802       53.620
    1.850999e-01   7.430000e+21      1.18183       40.320
